,turker_id,item1,item2,item3,slot_chosen
1,1,n255068.jpg,bost101.jpg,land684.jpg,2
2,1,bost101.jpg,land684.jpg,n255068.jpg,2
3,1,bost101.jpg,land684.jpg,n255068.jpg,2
4,1,n255068.jpg,land684.jpg,bost101.jpg,2
5,1,n255068.jpg,bost101.jpg,land684.jpg,2
6,1,n255068.jpg,n219007.jpg,land661.jpg,2
7,1,n255068.jpg,n219007.jpg,land661.jpg,2
8,1,n255068.jpg,n219007.jpg,land661.jpg,2
9,1,n255068.jpg,land684.jpg,bost101.jpg,2
10,1,land645.jpg,land661.jpg,n255068.jpg,2
11,1,n255068.jpg,n219007.jpg,land661.jpg,2
12,1,land645.jpg,land661.jpg,n255068.jpg,2
13,1,land645.jpg,land661.jpg,n255068.jpg,2
14,1,n255068.jpg,n219007.jpg,land661.jpg,2
15,1,n255068.jpg,land658.jpg,land661.jpg,2
16,1,land645.jpg,land661.jpg,n255068.jpg,2
17,1,n255068.jpg,land658.jpg,land661.jpg,2
18,1,n255068.jpg,land658.jpg,land661.jpg,2
19,1,land645.jpg,n255068.jpg,land661.jpg,2
20,1,n251048.jpg,n255068.jpg,land661.jpg,2
21,1,n255068.jpg,land658.jpg,land661.jpg,2
22,1,n251048.jpg,n255068.jpg,land661.jpg,2
23,1,n255068.jpg,land658.jpg,land661.jpg,2
24,1,n251048.jpg,n255068.jpg,land661.jpg,2
25,1,n251048.jpg,n255068.jpg,land661.jpg,2
26,1,n251048.jpg,n255068.jpg,land661.jpg,2
27,1,n213066.jpg,n255068.jpg,land661.jpg,2
28,1,n213066.jpg,n255068.jpg,land661.jpg,2
29,1,n213066.jpg,n255068.jpg,land661.jpg,2
30,1,n213066.jpg,n255068.jpg,land661.jpg,2
31,1,n251048.jpg,n255068.jpg,land661.jpg,2
32,1,n213066.jpg,n255068.jpg,land661.jpg,2
33,1,land902.jpg,land661.jpg,n255068.jpg,2
34,1,n255068.jpg,land661.jpg,land902.jpg,2
35,1,land902.jpg,n255068.jpg,land661.jpg,2
36,1,n255068.jpg,n295018.jpg,land661.jpg,2
37,1,n255068.jpg,land661.jpg,land902.jpg,2
38,1,n295018.jpg,n255068.jpg,land902.jpg,2
39,1,land902.jpg,land661.jpg,n255068.jpg,2
40,1,n295018.jpg,n255068.jpg,land902.jpg,2
41,1,n255068.jpg,n295018.jpg,land661.jpg,2
42,1,n295018.jpg,n255068.jpg,land902.jpg,2
43,1,n255068.jpg,n295018.jpg,land661.jpg,2
44,1,n255068.jpg,n295018.jpg,land661.jpg,2
45,1,land902.jpg,land661.jpg,n255068.jpg,2
46,1,n255068.jpg,n213086.jpg,land661.jpg,2
47,1,n255068.jpg,n213086.jpg,land902.jpg,2
48,1,n255068.jpg,n295018.jpg,land661.jpg,2
49,1,n255068.jpg,n213086.jpg,land661.jpg,2
50,1,n255068.jpg,n213086.jpg,land902.jpg,2
51,1,n255068.jpg,n213086.jpg,land661.jpg,2
52,1,n255068.jpg,n213086.jpg,land902.jpg,2
53,1,n255068.jpg,n213086.jpg,land902.jpg,2
54,1,n255068.jpg,land625.jpg,land661.jpg,2
55,1,n255068.jpg,n213086.jpg,land902.jpg,2
56,1,n255068.jpg,land625.jpg,land902.jpg,2
57,1,n255068.jpg,land625.jpg,land661.jpg,2
58,1,n255068.jpg,land625.jpg,land902.jpg,2
59,1,n255068.jpg,land625.jpg,land902.jpg,2
60,1,n255068.jpg,land625.jpg,land661.jpg,2
61,1,n255068.jpg,n213086.jpg,land902.jpg,2
62,1,n255068.jpg,land625.jpg,land661.jpg,2
63,1,land688.jpg,land661.jpg,n255068.jpg,2
64,1,land902.jpg,n255068.jpg,land661.jpg,2
65,1,n255068.jpg,land688.jpg,land661.jpg,2
66,1,n255068.jpg,land625.jpg,land661.jpg,2
67,1,land688.jpg,n255068.jpg,land902.jpg,2
68,1,land902.jpg,land688.jpg,n255068.jpg,2
69,1,land688.jpg,n255068.jpg,land902.jpg,2
70,1,n255068.jpg,land688.jpg,land661.jpg,2
71,1,land688.jpg,land661.jpg,n255068.jpg,2
72,1,n255068.jpg,land688.jpg,land661.jpg,2
73,1,n255068.jpg,n266018.jpg,land902.jpg,2
74,1,land688.jpg,n255068.jpg,land902.jpg,2
75,1,n255068.jpg,n266018.jpg,land902.jpg,2
76,1,n255068.jpg,n266018.jpg,land661.jpg,2
77,1,n255068.jpg,n266018.jpg,land661.jpg,2
78,1,n255068.jpg,land688.jpg,land661.jpg,2
79,1,n255068.jpg,n266018.jpg,land661.jpg,2
80,1,n255068.jpg,n266018.jpg,land902.jpg,2
81,1,n255068.jpg,n266018.jpg,land661.jpg,2
82,1,cdmc292.jpg,land661.jpg,n255068.jpg,2
83,1,n255068.jpg,n266018.jpg,land902.jpg,2
84,1,n255068.jpg,n266018.jpg,land902.jpg,2
85,1,n255068.jpg,n266018.jpg,land661.jpg,2
86,1,cdmc292.jpg,land661.jpg,n255068.jpg,2
87,1,cdmc292.jpg,land661.jpg,n255068.jpg,2
88,1,land902.jpg,cdmc292.jpg,n255068.jpg,2
89,1,land902.jpg,cdmc292.jpg,n255068.jpg,2
90,1,land902.jpg,cdmc292.jpg,n255068.jpg,2
91,1,land902.jpg,cdmc292.jpg,n255068.jpg,2
92,1,land902.jpg,cdmc292.jpg,n255068.jpg,2
93,1,n255068.jpg,cdmc292.jpg,land902.jpg,2
94,1,n255068.jpg,cdmc318.jpg,land661.jpg,2
95,1,land661.jpg,cdmc318.jpg,n255068.jpg,2
96,1,n255068.jpg,cdmc318.jpg,land661.jpg,2
97,1,cdmc318.jpg,n255068.jpg,land902.jpg,2
98,1,cdmc318.jpg,land902.jpg,n255068.jpg,2
99,1,cdmc318.jpg,land902.jpg,n255068.jpg,2
100,1,land661.jpg,cdmc318.jpg,n255068.jpg,2
101,1,cdmc318.jpg,land902.jpg,n255068.jpg,2
102,1,cdmc318.jpg,n255068.jpg,land902.jpg,2
103,1,land812.jpg,land902.jpg,n255068.jpg,2
104,1,land661.jpg,land812.jpg,n255068.jpg,2
105,1,land812.jpg,land902.jpg,n255068.jpg,2
106,1,land812.jpg,land902.jpg,n255068.jpg,2
107,1,land661.jpg,n255068.jpg,land812.jpg,2
108,1,n255068.jpg,land902.jpg,cdmc292.jpg,2
109,1,land661.jpg,n255068.jpg,land812.jpg,2
110,1,land661.jpg,n255068.jpg,land812.jpg,2
111,1,land661.jpg,land812.jpg,n255068.jpg,2
112,1,land656.jpg,land661.jpg,n255068.jpg,2
113,1,land661.jpg,land812.jpg,n255068.jpg,2
114,1,land656.jpg,n255068.jpg,land661.jpg,2
115,1,land656.jpg,land661.jpg,n255068.jpg,2
116,1,land656.jpg,n255068.jpg,land902.jpg,2
117,1,land656.jpg,n255068.jpg,land902.jpg,2
118,1,land656.jpg,land902.jpg,n255068.jpg,2
119,1,land656.jpg,n255068.jpg,land902.jpg,2
120,1,land656.jpg,land902.jpg,n255068.jpg,2
121,1,cdmc317.jpg,land661.jpg,n255068.jpg,2
